Wheat - Production and Area,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Australia,,NSW,,VIC,,QLD,,SA,,WA,,TAS,,NT,,ACT,
Year,hectares,tonnes,hectares,tonnes,hectares,tonnes,hectares,tonnes,hectares,tonnes,hectares,tonnes,hectares,tonnes,hectares,tonnes,hectares,tonnes
1959,"4,207,900","5,851,900","1,286,100","1,808,200","732,500","1,162,000","284,900","437,800","569,600","871,300","1,332,200","1,568,100","2,600","4,400",,,,
1960,"4,925,300","5,399,700","1,598,700","2,050,900","914,900","1,055,800","276,500","367,800","627,100","324,500","1,504,900","1,595,800","3,300","4,900",,,,
1961,"5,438,200","7,446,600","1,649,500","2,304,000","1,081,200","1,839,400","280,300","299,200","797,000","1,262,000","1,627,400","1,738,100","2,800","4,000",,,,
1962,"5,957,500","6,724,400","1,820,400","2,132,300","1,152,900","1,548,000","303,400","326,900","902,100","920,800","1,772,500","1,787,000","6,300","9,300",,,,
1963,"6,663,700","8,348,800","2,026,800","2,966,600","1,264,600","1,847,900","371,900","508,200","1,050,200","1,042,800","1,944,100","1,972,000","6,200","11,300",,,,
1964,"6,665,500","8,920,300","2,008,800","3,333,200","1,258,200","2,076,600","379,400","605,900","1,134,100","1,468,000","1,878,000","1,423,600","7,100","13,000",,,,
1965,"7,250,700","10,033,000","2,331,000","4,122,700","1,309,600","2,127,300","415,000","621,000","1,103,500","1,436,600","2,084,700","1,715,500","6,800","9,800",,,,
1966,"7,087,400","7,063,600","1,852,100","1,064,600","1,244,000","1,649,000","386,000","474,100","1,110,800","1,087,400","2,488,800","2,778,600","5,700","10,000",,,,
1967,"8,425,700","12,693,600","2,887,500","5,511,200","1,269,900","1,929,500","496,700","971,900","1,198,000","1,463,800","2,568,400","2,806,900","5,200","10,400",,,,
1968,"9,080,700","7,542,900","3,324,500","2,376,500","1,304,700","770,700","597,600","745,700","1,159,100","731,700","2,690,000","2,909,700","4,900","8,500",,,,
1969,"10,843,800","14,797,900","4,031,400","5,854,600","1,612,300","2,469,200","723,800","1,142,400","1,517,000","2,262,000","2,952,300","3,058,600","7,000","11,100",,,,
1970,"9,485,000","10,542,200","3,489,500","4,430,300","1,334,800","2,273,700","608,700","405,200","1,299,000","1,609,100","2,747,100","1,814,200","6,000","9,500",,,,
1971,"6,478,000","7,888,300","2,215,700","3,010,200","760,400","1,004,300","333,900","119,700","802,300","789,600","2,361,100","2,957,000","4,500","7,600",,,,
1972,"7,137,400","8,508,500","2,426,300","2,409,800","1,040,200","1,797,300","556,000","721,800","1,068,600","1,406,100","2,041,900","2,165,100","4,600","8,300",,,,
1973,"7,603,800","6,434,000","2,618,100","1,954,100","1,087,400","1,249,300","470,600","404,900","986,100","815,000","2,437,400","2,003,000","4,300","7,700",,,,
